Rider ID,Age 0ya,UCI Team 0ya,Price 0ya,Score 0ya,Observation Year,Rider Name,Country,Age 1ya,UCI Team 1ya,Price 1ya,Score 1ya,Age 2ya,UCI Team 2ya,Price 2ya,Score 2ya,Age 3ya,UCI Team 3ya,Price 3ya,Score 3ya,Age 4ya,UCI Team 4ya,Price 4ya,Score 4ya,Age 5ya,UCI Team 5ya,Price 5ya,Score 5ya,Age 6ya,UCI Team 6ya,Price 6ya,Score 6ya,Age 7ya,UCI Team 7ya,Price 7ya,Score 7ya,Age 8ya,UCI Team 8ya,Price 8ya,Score 8ya
1737,35.0,MIC,6.0,560.0,2012,Grete Treier,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,30.0,RBW,4.0,547.0,2012,Sarah Düster,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,29.0,SLU,8.0,546.0,2012,Charlotte Becker,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,28.0,MCG,10.0,540.0,2012,Tatiana Guderzo,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,19.0,GCV,1.0,530.0,2012,Rossella Ratto,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,22.0,LNL,1.0,525.0,2012,Jessie Daams,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,38.0,XYZ,2.0,510.0,2012,Wendy Houvenaghel,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,30.0,RBW,18.0,474.0,2012,Tatiana Antoshina,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,21.0,SKI,6.0,468.0,2012,Amy Pieters,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,23.0,MCG,1.0,461.0,2012,Marta Tagliaferro,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,24.0,RUS,2.0,455.0,2012,Romy Kasper,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,30.0,NXX,1.0,435.0,2012,Rachel Neylan,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,22.0,OPK,2.0,425.0,2012,Leah Kirchman,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,27.0,GEW,8.0,420.0,2012,Claudia Lichtenberg-Häusler,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,33.0,NOW,1.0,415.0,2012,Alison Powers,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,25.0,LBL,4.0,390.0,2012,Sofie De Vuyst,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,25.0,FUT,2.0,385.0,2012,Pascale Jeuland,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,23.0,LNL,10.0,375.0,2012,Chantal van den Broek-Blaak,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,38.0,FHT,2.0,370.0,2012,Fabiana Luperini,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,23.0,DPZ,2.0,365.0,2012,Giada Borgato,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,24.0,MIC,6.0,345.0,2012,Alexandra Burchenkova,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,31.0,DLT,2.0,340.0,2012,Mascha Pijnenborg,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,25.0,MCG,2.0,335.0,2012,Marta Bastianelli,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,24.0,FUT,4.0,325.0,2012,Karol-Ann Canuel,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,26.0,DPZ,1.0,325.0,2012,Inga Cilvinaite,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,29.0,LBL,1.0,325.0,2012,Lise Olivier,RSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,27.0,LNL,2.0,320.0,2012,Carla Ryan,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,24.0,BPK,1.0,310.0,2012,Simona Frapporti,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296,20.0,XYZ,1.0,286.0,2012,Amy Cure,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,29.0,GSD,1.0,285.0,2012,Patricia Schwager,SUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,22.0,KLT,2.0,278.0,2012,Evelyn Arys,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,25.0,HPU,2.0,275.0,2012,Lise Nöstvold,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,30.0,XYZ,1.0,275.0,2012,Martina Ritter,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,20.0,DLT,1.0,265.0,2012,Laura van der Kamp,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,29.0,RUS,6.0,260.0,2012,Natalia Boyarskaya,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,25.0,BPD,1.0,260.0,2012,Anna Sanchis Chafer,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,30.0,EXG,2.0,250.0,2012,Kristin McGrath,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,21.0,HPU,2.0,245.0,2012,Emilie Moberg,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,25.0,GEW,4.0,240.0,2012,Amanda Spratt,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,23.0,VLL,2.0,240.0,2012,Maaike Polspoel,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,33.0,FUT,2.0,240.0,2012,Andrea Graus,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,34.0,EXG,4.0,230.0,2012,Theresa Cliff-Ryan,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,45.0,FUT,2.0,230.0,2012,Edwige Pitel,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,22.0,VDK,1.0,230.0,2012,Emily Collins,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,27.0,SKI,1.0,230.0,2012,Janneke Kanis,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,23.0,VLL,1.0,230.0,2012,Kelly Druyts,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2267,24.0,FHT,1.0,230.0,2012,Gracie Elvin,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,33.0,HPU,6.0,220.0,2012,Christel Ferrier-Bruneau,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,30.0,AIS,1.0,220.0,2012,Taryn Heather,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,22.0,LNL,1.0,220.0,2012,Lucy Martin,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,34.0,OPK,1.0,210.0,2012,Jade Wilcoxson,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,33.0,TIB,1.0,207.0,2012,Lauren Hall,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,24.0,DLT,1.0,205.0,2012,Nina Kessler,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,21.0,LBL,1.0,200.0,2012,Kaat Hannes,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,32.0,FHT,1.0,200.0,2012,Luisa Tamanini,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,26.0,TIB,4.0,192.0,2012,Amanda Miller,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,28.0,SKI,2.0,188.0,2012,Suzanne de Goede,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,23.0,EXG,1.0,185.0,2012,Tayler Wiles,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,23.0,LNL,4.0,180.0,2012,Isabelle Söderberg,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,24.0,SLU,1.0,180.0,2012,Lauren Rowney,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,23.0,LBL,1.0,180.0,2012,Cherise Taylor,RSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,29.0,FHT,20.0,175.0,2012,Nicole Cooke,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,47.0,XYZ,1.0,175.0,2012,Julia Shaw,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,29.0,SLT,2.0,174.0,2012,Vera Koedooder,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,24.0,SLU,2.0,170.0,2012,Lisa Brennauer,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2156,31.0,ABD,2.0,165.0,2012,Paulina Brzezna,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,24.0,SLU,4.0,163.0,2012,Emilia Fahlin,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2178,24.0,XYZ,1.0,160.0,2012,Jutatip Maneephan,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,23.0,FUT,1.0,160.0,2012,Sandrine Bideau,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,36.0,BPK,4.0,150.0,2012,Julia Martisova,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,23.0,DPZ,4.0,150.0,2012,Polona Batagelj,SLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,20.0,MCG,1.0,150.0,2012,Susanna Zorzi,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,21.0,WIM,1.0,150.0,2012,Kim de Baat,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,22.0,MIC,4.0,140.0,2012,Valentina Scandolara,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,24.0,BPK,1.0,140.0,2012,Oxana Kozonchuk,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,25.0,RBW,1.0,140.0,2012,Roxane Knetemann,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2266,27.0,XYZ,1.0,140.0,2012,Anastasiya Chulkova,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2328,36.0,XYZ,1.0,140.0,2012,Cathrine Grage,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,37.0,PCW,1.0,140.0,2012,Eivgenia Vysotska,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331,36.0,XYZ,1.0,138.0,2012,Cecilie Gotaas Johnsen,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,30.0,BPD,1.0,135.0,2012,Joanne Hogan,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,31.0,FCL,1.0,135.0,2012,Flavia Oliveira,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,23.0,FUT,1.0,135.0,2012,Carlee Taylor,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,24.0,RUS,1.0,135.0,2012,Irina Molicheva,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,23.0,NXX,2.0,130.0,2012,Martina Zwick,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,33.0,KLT,1.0,130.0,2012,Petra Dijkman,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,22.0,VLL,1.0,130.0,2012,Jolien D'hoore,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3316,32.0,TIB,4.0,126.0,2012,Tara Whitten,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,37.0,XYZ,2.0,125.0,2012,Pia Sundstedt,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,19.0,RBW,2.0,125.0,2012,Thalita de Jong,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,29.0,VLL,1.0,125.0,2012,Else Belmans,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309,20.0,BRE,1.0,125.0,2012,Coralie Demay,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2351,25.0,XYZ,1.0,125.0,2012,Martina Sablikova,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,33.0,TIB,1.0,120.0,2012,Joanne Kiesanowski,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,24.0,VAI,14.0,115.0,2012,Rasa Leleivyte,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,23.0,XYZ,1.0,114.0,2012,Lotta Henttala (Lepistö),FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,22.0,OPK,2.0,110.0,2012,Denise Ramsden,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,26.0,GPC,1.0,110.0,2012,Xin Liu,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,28.0,NXX,4.0,100.0,2012,Belinda Goss,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,31.0,XYZ,4.0,100.0,2012,Angie Gonzales Garcia,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,28.0,EXG,4.0,100.0,2012,Pascale Schnider,SUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,21.0,FUT,2.0,100.0,2012,Marion Rousse,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,27.0,GEW,2.0,100.0,2012,Jessie Maclean,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,26.0,XYZ,1.0,100.0,2012,Mayuko Hagiwara,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,26.0,FHT,1.0,100.0,2012,Jennifer Hohl,SUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,28.0,FHT,1.0,100.0,2012,Yulia Blindyuk,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,19.0,FHT,1.0,100.0,2012,Maria Confalonieri,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,39.0,NOW,1.0,100.0,2012,Olivia Dillon,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,27.0,XYZ,1.0,100.0,2012,Hildegunn Hovdenak,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,26.0,NXX,1.0,100.0,2012,Marlen Jöhrend,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2279,22.0,XYZ,1.0,100.0,2012,Reum Na Ah,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297,43.0,XYZ,1.0,100.0,2012,Anne Palm,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2079,25.0,XYZ,1.0,100.0,2012,Vilija Sereikaite,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2251,23.0,XYZ,1.0,100.0,2012,Reta Trotman,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2333,39.0,XYZ,1.0,96.0,2012,Thrude Natholmen,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,23.0,FUT,1.0,95.0,2012,Amelie Rivat,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,32.0,MIC,1.0,95.0,2012,Martina Ruzickova,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2196,48.0,XYZ,1.0,90.0,2012,Laura Van Gilder,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,30.0,LBL,1.0,90.0,2012,Joanna Van de Winkel,RSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,28.0,GEW,2.0,90.0,2012,Alexis Rhodes,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,23.0,XYZ,1.0,90.0,2012,Katarzyna Pawlowska,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,39.0,RUS,10.0,85.0,2012,Svetlana Stolbova,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,33.0,LNL,2.0,80.0,2012,Marieke van Wanroij,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,22.0,SLU,1.0,80.0,2012,Katie Colclough,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,20.0,BCF,1.0,80.0,2012,Alexia Muffat,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,32.0,EXG,1.0,80.0,2012,Andrea Dvorak,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2252,31.0,XYZ,1.0,80.0,2012,Miranda Griffiths,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2291,27.0,XYZ,1.0,80.0,2012,Lenore Pipes,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,40.0,XYZ,1.0,80.0,2012,Jutta Stienen,SUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,30.0,BPK,1.0,75.0,2012,Silvia Valsecchi,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,34.0,DPZ,2.0,70.0,2012,Alessandra D'Ettorre,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,32.0,EPI,2.0,70.0,2012,Veronique Labonte,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,23.0,MCG,1.0,70.0,2012,Valentina Carretta,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290,20.0,XYZ,1.0,70.0,2012,Jasmin Duehring,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2286,22.0,XYZ,1.0,70.0,2012,Marina Likhanov,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,34.0,DPD,1.0,70.0,2012,Esther Olthuis,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310,25.0,BCF,1.0,70.0,2012,Alexandra Tondeur,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,22.0,TOG,1.0,65.0,2012,Barbara Guarischi,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,21.0,VDK,1.0,65.0,2012,Kate Chilcott,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,29.0,XYZ,1.0,65.0,2012,Madeleine Sandig,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,21.0,BIG,1.0,65.0,2012,Roxane Fournier,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,23.0,DLT,1.0,65.0,2012,Emma Trott,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,54.0,XYZ,4.0,60.0,2012,Jeannie Longo,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,25.0,GSD,2.0,60.0,2012,Melanie Bravard,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,20.0,XYZ,1.0,60.0,2012,Sarah-Lena Hofmann,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,28.0,XYZ,1.0,60.0,2012,Joanie Caron,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061,27.0,XYZ,1.0,60.0,2012,Eva Lechner,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2185,26.0,XYZ,1.0,60.0,2012,Olena Sharga,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,23.0,FCL,1.0,60.0,2012,Tetyana Riabchenko,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
